03-11-2021,Symbol,Name,Price,Change,% Change,Volume,Avg Vol,Market Cap,PE Ratio,url
21,CCL,,27.47,+0.77,+2.88%,33.297M,,31.776B,N/A,https://finance.yahoo.com/quote/CCL?p=CCL
22,RLLCF,,0.0264,+0.0053,+25.12%,32.031M,,575.538B,N/A,https://finance.yahoo.com/quote/RLLCF?p=RLLCF
23,XPEV,,34.81,+4.11,+13.39%,31.136M,,24.826B,N/A,https://finance.yahoo.com/quote/XPEV?p=XPEV
24,WFC,,38.88,-0.70,-1.77%,29.822M,,160.734B,,https://finance.yahoo.com/quote/WFC?p=WFC
25,VALE,,18.02,+0.80,+4.65%,30.291M,,92.441B,,https://finance.yahoo.com/quote/VALE?p=VALE
26,VZ,,55.51,-1.57,-2.75%,30.313M,,229.709B,,https://finance.yahoo.com/quote/VZ?p=VZ
27,BA,,252.00,+6.66,+2.71%,30.142M,,147.077B,N/A,https://finance.yahoo.com/quote/BA?p=BA
28,MSFT,,237.13,+4.71,+2.03%,29.908M,,1.788T,,https://finance.yahoo.com/quote/MSFT?p=MSFT
29,RIOT,,63.31,+6.81,+12.05%,28.178M,,4.275B,N/A,https://finance.yahoo.com/quote/RIOT?p=RIOT
30,GME,,260.00,-5.00,-1.89%,27.825M,,18.134B,N/A,https://finance.yahoo.com/quote/GME?p=GME
31,CAN,,36.40,+8.42,+30.09%,27.494M,,5.703B,N/A,https://finance.yahoo.com/quote/CAN?p=CAN
32,PLUG,,48.16,+5.33,+12.44%,27.052M,,28.399B,N/A,https://finance.yahoo.com/quote/PLUG?p=PLUG
33,RIG,,4.5500,-0.1300,-2.78%,25.273M,,2.803B,N/A,https://finance.yahoo.com/quote/RIG?p=RIG
34,FCX,,37.47,+3.01,+8.73%,25.374M,,54.706B,,https://finance.yahoo.com/quote/FCX?p=FCX
35,XOM,,61.31,-0.46,-0.74%,24.048M,,259.555B,N/A,https://finance.yahoo.com/quote/XOM?p=XOM
36,INTC,,63.31,+1.06,+1.70%,29.121M,,257.229B,,https://finance.yahoo.com/quote/INTC?p=INTC
37,CCIV,,26.84,+2.14,+8.66%,24.003M,,6.945B,N/A,https://finance.yahoo.com/quote/CCIV?p=CCIV
38,APHA,,19.86,+2.13,+12.01%,23.997M,,6.278B,,https://finance.yahoo.com/quote/APHA?p=APHA
39,JD,,90.01,+0.68,+0.76%,24.21M,,137.838B,,https://finance.yahoo.com/quote/JD?p=JD
40,BNGO,,9.53,+0.86,+9.92%,23.226M,,2.591B,N/A,https://finance.yahoo.com/quote/BNGO?p=BNGO
41,PCG,,11.45,-0.01,-0.09%,23.724M,,22.725B,N/A,https://finance.yahoo.com/quote/PCG?p=PCG
42,WKHS,,17.50,+1.56,+9.79%,23.022M,,2.161B,,https://finance.yahoo.com/quote/WKHS?p=WKHS
43,LI,,26.02,+2.68,+11.48%,22.841M,,23.539B,N/A,https://finance.yahoo.com/quote/LI?p=LI
44,SNAP,,59.62,+4.55,+8.26%,22M,,89.925B,N/A,https://finance.yahoo.com/quote/SNAP?p=SNAP
45,SKLZ,,27.78,+2.08,+8.09%,22.314M,,10.274B,N/A,https://finance.yahoo.com/quote/SKLZ?p=SKLZ
46,OXY,,30.98,+1.62,+5.52%,21.984M,,28.86B,N/A,https://finance.yahoo.com/quote/OXY?p=OXY
47,CSCO,,48.80,+0.51,+1.06%,21.977M,,206.023B,,https://finance.yahoo.com/quote/CSCO?p=CSCO
48,FB,,273.88,+8.98,+3.39%,21.834M,,779.92B,,https://finance.yahoo.com/quote/FB?p=FB
49,PFE,,34.71,-0.22,-0.63%,24.019M,,193.6B,,https://finance.yahoo.com/quote/PFE?p=PFE
50,MU,,89.31,+3.90,+4.57%,20.716M,,99.908B,,https://finance.yahoo.com/quote/MU?p=MU
51,GM,,56.33,-0.50,-0.88%,20.245M,,81.166B,,https://finance.yahoo.com/quote/GM?p=GM
52,NCLH,,30.26,+0.72,+2.44%,20.189M,,10.994B,N/A,https://finance.yahoo.com/quote/NCLH?p=NCLH
53,CLDR,,12.88,-1.85,-12.56%,20.72M,,3.693B,N/A,https://finance.yahoo.com/quote/CLDR?p=CLDR
54,MRVL,,46.30,+3.46,+8.08%,18.895M,,31.089B,N/A,https://finance.yahoo.com/quote/MRVL?p=MRVL
